"Observation.ID","Date","Dolphin.ID","Age"
18434,2012-07-23,"ID078",31
18770,2013-05-27,"ID091",7
21105,2015-08-26,"ID127",9
21476,2015-12-04,"ID020",23
24647,2018-07-01,"ID105",21
25258,2018-09-21,"ID036",16
16619,2008-07-03,"ID078",27
17622,2010-08-04,"ID132",35
18937,2013-07-09,"ID011",21
19355,2013-10-30,"ID065",6
19355,2013-10-30,"ID034",14
19355,2013-10-30,"ID107",39
19355,2013-10-30,"ID058",16
19355,2013-10-30,"ID172",34
19355,2013-10-30,"ID054",27
19355,2013-10-30,"ID135",13
19355,2013-10-30,"ID166",8
21246,2015-09-11,"ID110",10
21246,2015-09-11,"ID049",15
21317,2015-09-30,"ID063",39
21407,2015-10-26,"ID087",17
21407,2015-10-26,"ID114",21
21568,2016-05-12,"ID134",26
22017,2016-10-07,"ID027",46
26064,2019-06-30,"ID014",32
26190,2019-07-17,"ID122",32
16659,2008-07-10,"ID105",11
16659,2008-07-10,"ID130",24
16659,2008-07-10,"ID147",17
16659,2008-07-10,"ID137",14
16898,2009-06-17,"ID024",28
16985,2009-07-08,"ID063",33
18401,2012-07-20,"ID064",9
18401,2012-07-20,"ID171",10
18401,2012-07-20,"ID162",4
18468,2012-08-03,"ID070",17
20728,2015-06-25,"ID110",10
20728,2015-06-25,"ID114",21
20795,2015-06-29,"ID061",9
21253,2015-09-17,"ID086",12
21604,2016-05-23,"ID116",9
21887,2016-09-06,"ID064",13
21887,2016-09-06,"ID105",19
25784,2019-09-24,"ID149",10
25784,2019-09-24,"ID146",34
25784,2019-09-24,"ID022",37
25784,2019-09-24,"ID099",32
25784,2019-09-24,"ID053",19
26462,2017-11-05,"ID135",17
17123,2009-08-06,"ID137",15
18506,2012-08-11,"ID027",42
18506,2012-08-11,"ID169",11
18506,2012-08-11,"ID107",38
